"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
DFUSION 17,Sistema de vídeo análisis para 17 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 18,Sistema de vídeo análisis para 18 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 19,Sistema de vídeo análisis para 19 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 20,Sistema de vídeo análisis para 20 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 21,Sistema de vídeo análisis para 21 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 22,Sistema de vídeo análisis para 22 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 23,Sistema de vídeo análisis para 23 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 24,Sistema de vídeo análisis para 24 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 25,Sistema de vídeo análisis para 25 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 26,Sistema de vídeo análisis para 26 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 27,Sistema de vídeo análisis para 27 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 28,Sistema de vídeo análisis para 28 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 29,Sistema de vídeo análisis para 29 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 30,Sistema de vídeo análisis para 30 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 31,Sistema de vídeo análisis para 31 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 32,Sistema de vídeo análisis para 32 canales IP. DFusion con Deep Learning. Rack,C
"",Descripción Corta,Disponibilidad
DFUSION PRO 02,Sistema de vídeo análisis para largas distancias. 2 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 03,Sistema de vídeo análisis para largas distancias. 3 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 04,Sistema de vídeo análisis para largas distancias. 4 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 05,Sistema de vídeo análisis para largas distancias. 5 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 06,Sistema de vídeo análisis para largas distancias. 6 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 07,Sistema de vídeo análisis para largas distancias. 7 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 08,Sistema de vídeo análisis para largas distancias. 8 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 09,Sistema de vídeo análisis para largas distancias. 9 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 10,Sistema de vídeo análisis para largas distancias. 10 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 11,Sistema de vídeo análisis para largas distancias. 11 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 12,Sistema de vídeo análisis para largas distancias. 12 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 13,Sistema de vídeo análisis para largas distancias. 13 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 14,Sistema de vídeo análisis para largas distancias. 14 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 15,Sistema de vídeo análisis para largas distancias. 15 canales IP. DFusion PRO con DeepLearning. Rack,C
DFUSION PRO 16,Sistema de vídeo análisis para largas distancias. 16 canales IP. DFusion PRO con DeepLearning. Rack,C
"",DS-QAZ1307G1T-E
Tipo de Altavoz,Superficie
Potencia (W),"7,0000"
Potencia Acústica,121 dBSPL
Material Carcasa,Metal
Color Altavoz,Blanco
Protección IP,IP67
Alto x Ancho x Profundo (cm),40.00 x 23.70 x 27.60
Peso (kg),2.10
Disponibilidad,B
"",Descripción Corta,Disponibilidad
"",Módulo IOT para gestión de 32 entradas (digitales)/32 salidas (relé) compatible con servidores de analítica,
CSM-KC868-A32,,A
"",perimetral Davantis. Alimentador 12V incl.,
"",IDS-2CD8A47G0-SC-ZY(2.8-12MM)
Tipo de Cámara,Bullet
Resolución,4 Mpx
Tecnología de Vídeo,IP
Tipo de Óptica,Motorizada
Distancia Focal,"2,8 - 12 mm"
"Ángulo de Ajuste",3 ejes
LEDs,;
Luz Blanca,;
WDR,140 dB
Iluminación Mínima,0.002lux
"",Hombre / Vehículo
"",Objetos que aparecen o entran en la zona de interés
Análisis de Video,
"",Ausencia de objetos en la zona de interés
"",Cruce de Linea
Entradas/Salidas de Alarma,;
Entrada/Salida Audio,;
Slot SD,Micro SD (1TB)
WIFI,;
Exterior,IP67
Grado de Protección Antivandálica,IK10
Soporte Pared,No
Soporte Base,No
Soporte Techo,No
Soporte Poste,No
Soporte Esquina,No
Soporte Empotrado,No
"",12 Vdc
Alimentación,
"",PoE+ 802.3at
Alto x Ancho x Profundo (cm),19.30 x 26.10 x 33.70
Peso (kg),2.90
Disponibilidad,P
"",IDS-,IDS-,IDS-,IDS-,,
"",,,,,IDS-TCM403-,IDS-TCM403-
"",2CD7026G0-P-,2CD7A46G0-P-,2CD7A26G0-P-,2CD7A26G0-P-,,
"",,,,,BI-0411,BI(G)-POE-0832
"",AP(C),IZHSY(2.8-12MM),IZHS(2.8-12MM),IZHS(8-32MM),,
Tipo de Cámara,Box IP,Bullet,Bullet,Bullet,Bullet,Bullet
Resolución,2 Mpx,4 Mpx,2 Mpx,2 Mpx,4 Mpx,4 Mpx
Tecnología de,,,CVBS,CVBS,,
Vídeo,IP,IP,IP,IP,IP,IP
Tipo de Óptica,Sin Óptica,Motorizada,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,;,"2,8 - 12 mm","2,8 - 12 mm",8 - 32 mm,4 - 11 mm,8 - 32 mm
"Ángulo de Ajuste",;,3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,50 m IR,50 m IR,100 m IR,100 m IR,100 m IR
Luz Blanca,;,;,;,;,;,;
WDR,140 dB,140 dB,140 dB,140 dB,140 dB,140 dB
Iluminación Mínima,0.0005lux,0.0005lux,0.0005lux,0.0005lux,0.0005lux,0.001lux
"",,LPR,LPR,,,
"",LPR,,,,,
"",,Hombre / Vehículo,Hombre / Vehículo,,LPR,LPR
"",VCA,,,,,
"",,VCA,VCA,,Clasificación Tipo,Clasificación Tipo
"",Conteo de,,,LPR,,
Análisis de Video,,Detección,Detección,,de Vehículo,de Vehículo
"",Personas,,,VCA,,
"",,Perimetral,Perimetral,,Clasificación Color,Clasificación Color
"",Detección de,,,,,
"",,Detección de,Detección de,,de Vehículo,de Vehículo
"",Movimiento,,,,,
"",,Movimiento,Movimiento,,,
Entradas/Salidas,,,,,,
de Alarma,2e/2s,2e/2s,2e/2s,2e/2s,1e/1s,1e/1s
Entrada/Salida,Micrófono,,,,,
Audio,Integrado,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),Micro SD (1TB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (512 GB),Micro SD (128 GB)
WIFI,;,;,;,;,;,;
Exterior,;,IP67,IP67,IP67,IP67,IP67
Grado de,,,,,,
Protección,;,IK10,IK10,IK10,IK10,IK10
Antivandálica,,,,,,
Soporte Pared,DS-1293ZJ,No,No,No,No,DS-1701ZJ/HWB
Soporte Base,No,No,Incluida,Incluida,No,No
Soporte Techo,No,No,No,No,No,No
"",,,,,DS-1275ZJ/,
Soporte Poste,DS-1214ZJ,DS-1475ZJ-SUS,DS-1475ZJ-SUS,DS-1475ZJ-SUS,,DS-1275ZJ/HWB
"",,,,,BJH/140mm,
"",,DS-1476ZJ-Y,,,,
Soporte Esquina,No,,DS-1476ZJ-SUS,DS-1476ZJ-SUS,No,No
"",,DS-1476ZJ-SUS,,,,
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
"",,,,,12 Vdc,
"",12 Vdc / 24 Vac /,12 Vdc / PoE +,12 Vdc / PoE +,12 Vdc / PoE +,,12 - 24 Vdc
Alimentación,,,,,24 Vdc,
"",PoE 802.3af,802.3at,802.3at,802.3at,,PoE 802.3af
"",,,,,PoE+ 802.3at,
Alto x Ancho x,,14.00 x 14.00 x,10.20 x 10.60 x,10.20 x 10.60 x,12.00 x 13.80 x,12.00 x 13.80 x
Profundo (cm),6.80 x 6.98 x 14.20,35.10,35.10,35.10,42.80,42.80
Peso (kg),0.75,1.95,1.92,1.92,3.62,3.62
Disponibilidad,P,P,P,P,P,P
"",IDS-2CD6810F-C(2.8MM),DS-2CD6825G0-C-IS(2.0MM),IDS-2CD7146G0-IZS(2.8-12MM)
Tipo de Cámara,Compacta,Dual,Minidomo
Resolución,640 x 960,2 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Fija,Fija,Motorizada
Distancia Focal,"2,8 mm","2,0 mm","2,8 - 12 mm"
"Ángulo de Ajuste",2 ejes,3 ejes,3 ejes
LEDs,;,6 m IR,30 m IR
Luz Blanca,;,;,;
WDR,;,Digital WDR,140 dB
Iluminación Mínima,;,0.005lux,0.0005lux
"",,,Reconocimiento Facial
Análisis de Video,Conteo de Personas,Conteo,Conteo
"",,,VCA
Entradas/Salidas de Alarma,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,;,1e/1s,Micrófono Integrado
Slot SD,;,;,Micro SD (256 GB)
WIFI,;,;,;
Exterior,;,IP67,;
Grado de Protección,,,
Antivandálica,;,;,IK10
Soporte Pared,No,No,DS-1273ZJ-130
Soporte Base,No,No,No
Soporte Techo,No,No,No
Soporte Poste,No,No,DS-1275ZJ-SUS
Soporte Esquina,No,No,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No
Alimentación,12 Vdc / PoE 802.3af,PoE 802.3af,12 Vdc / 24 Vac / PoE 802.3af
Alto x Ancho x Profundo (cm),3.58 x 7.02 x 19.40,3.60 x 6.10 x 16.80,12.20 x 12.10 x 12.10
Peso (kg),0.30,0.43,0.95
Disponibilidad,P,B,P
"",IDS-2CD7146G0-IZS(2.8-12MM)
Tipo de Cámara,Minidomo
Resolución,4 Mpx
Tecnología de Vídeo,IP
Tipo de Óptica,Motorizada
Distancia Focal,"2,8 - 12 mm"
"Ángulo de Ajuste",3 ejes
LEDs,30 m IR
Luz Blanca,;
WDR,140 dB
Iluminación Mínima,0.0005lux
"",Reconocimiento Facial
Análisis de Video,Conteo
"",VCA
Entradas/Salidas de Alarma,1e/1s
Entrada/Salida Audio,Micrófono Integrado
Slot SD,Micro SD (256 GB)
WIFI,;
Exterior,;
Grado de Protección Antivandálica,IK10
Soporte Pared,DS-1273ZJ-130
Soporte Base,No
Soporte Techo,No
Soporte Poste,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS
Soporte Empotrado,No
Alimentación,12 Vdc / 24 Vac / PoE 802.3af
Alto x Ancho x Profundo (cm),12.20 x 12.10 x 12.10
Peso (kg),0.95
Disponibilidad,P

Referencia,Stock,PVP,Página
10.0C-H5DH-DO1-IR,C,"1.569,00€",148
12.0W-H5A-FE-DC1,C,"1.145,00€",145
12.0W-H5A-FE-DO1,C,"1.115,00€",145
12.0W-H5A-FE-DO1-IR,B,"1.165,00€",145
15C-H5A-3MH,C,"2.018,00€",148
16C-H5PRO-B,C,"7.749,00€",135
19” 1U 380  MOUNTING BRACKET,B,"4,11€",22
19” 1U 380  MOUNTING BRACKET,B,"4,11€",96
1U-4BAY-SERVER-32TB-RAW,C,"14.383,97€",194
1U-MSERVER,C,"8.532,70€",194
2.0C-H5A-D1-IR,C,"872,62€",140
2.0C-H5A-IRPTZ-DP40-WP,C,"3.652,26€",146
2.0C-H5M-DO1-IR,C,"330,59€",139
2.0C-H6A-BO1-IR,C,"1.133,00€",136
2.0C-H6A-D1-IR,C,"878,00€",140
2.0C-H6A-PTZ-DP30,C,"3.065,00€",146
2.0C-H6M-D1,C,"280,64€",139
2.0C-H6M-D1-IR,C,"308,88€",139
2.0C-H6SL-BO1-IR,C,"668,01€",136
2.0C-H6SL-D1-IR,C,"492,04€",139
2.0C-H6SL-DO1-IR,C,"575,21€",140
2.0C-H6X-B,C,"780,30€",134
20C-H5A-4MH,C,"2.414,00€",149
24C-H5A-3MH,C,"2.321,00€",148
26C-H5PRO-B,C,"9.298,00€",135
2U-12BAY-SERVER-120TB-RAW,C,"35.434,22€",194
3.0C-H4VI-RO1-IR,C,"1.189,00€",153
3.0C-H5A-CR1-IR,C,"1.240,00€",141
3.0C-H5A-CR1-IR-SS,C,"1.499,00€",141
3.0C-H5SL-DO1-IR,C,"585,18€",141
3.0C-H6M-D1-IR,C,"350,43€",141
3.0C-H6SL-BO1-IR,B,"746,81€",137
3.0C-H6SL-BO2-IR,C,"803,71€",137
3.0C-H6SL-D1-IR,C,"567,33€",141
3.0C-H6SL-DO1-IR,C,"654,00€",141
320F-H5A-THC-BO12,C,"4.856,00€",172
320F-H5A-THC-BO50,C,"3.823,00€",172
32C-H5A-4MH,C,"2.755,00€",149
4.0C-H6A-BO1-IR,B,"1.363,00€",137
4.0C-H6A-BO2-IR,C,"1.621,61€",137
4.0C-H6X-B,C,"1.012,00€",134
40C-H5PRO-B,C,"11.365,00€",135
5.0C-H5A-CR1-IR,C,"1.653,00€",142
5.0C-H5A-CR1-IR-SS,C,"1.912,00€",142
5.0C-H5M-DO1-IR,C,"413,25€",142
5.0C-H6M-D2-IR,C,"418,73€",142
5.0C-H6SL-BO1-IR,C,"889,00€",138
5.0C-H6SL-BO2-IR,C,"949,00€",138
5.0C-H6SL-D1-IR,C,"706,53€",142
5.0C-H6SL-DO1-IR,C,"795,83€",142
6.0C-H6A-BO1-IR,C,"1.502,00€",138
6.0C-H6A-DO1-IR,B,"1.409,00€",143
6.0C-H6A-DO2-IR,C,"1.451,00€",143
6.0C-H6X-B,C,"1.150,00€",134
60W POE INJECTOR EU,A,"193,34€",227
8.0C-H5A-FE-DC1,C,"764,71€",144
8.0C-H5A-FE-DO1,C,"734,33€",144
8.0C-H5A-FE-DO1-IR,B,"784,97€",144
8.0C-H5A-PTZ-DC36,C,"3.611,00€",147
8.0C-H5A-PTZ-DP36,C,"3.611,00€",147
8.0C-H6A-BO1-IR,C,"1.710,00€",138
8.0C-H6A-DO1-IR,C,"1.617,00€",143
8.0C-H6X-B,C,"1.358,00€",134
8C-H5PRO-B,C,"3.100,00€",135
9C-H5A-3MH,C,"1.796,00€",148
A22 JUNCTION BOX B-XL,A,"37,21€",48
A28 WALL MOUNT MD-XL,C,"16,51€",48
A29 WALL MOUNT MD-STD,A,"13,02€",48
A35 CORNER MOUNT U,A,"44,65€",48
A36 POLE MOUNT U,A,"44,65€",48
A5404B,C,"1.792,68€",215
A5404G,C,"1.792,68€",215
A5404L,C,"1.573,17€",215
A5404N,C,"1.792,68€",216
A5404R,C,"1.573,17€",216
A5404S,C,"5.213,41€",216
A5404T,C,"1.792,68€",216
AC POWER CABLE-EUROPEN STANDARD-C13-1.5M,A,"5,03€",84
ACC-USB-JOY,C,"633,04€",159
ACC-USB-JOY-PRO,C,"957,15€",159
ACC7-COR,C,"81,23€",158
ACC7-ENT,A,"277,11€",158
ACC7-ENT-FO,C,"43,00€",158
ACC7-FACE,C,"1.434,00€",158
ACC7-FACE-10C,C,"4.778,00€",158
ACC7-LPR,C,"1.529,00€",158
ACC7-STD,C,"157,67€",158
ACC7-STD-TO-ENT-UPG,C,"167,23€",159
ACC7-VAC,C,"286,66€",158
AD-RSGD0204S8,B,"741,46€",235
AD-RSGD0208S8,A,"731,06€",235
AD-SFP2160,C,"112,20€",237
ADAM-6060,A,"589,25€",208
AE-DC4328-K5,P,"298,58€",77
AE-MN5083-M12,P,"2.071,32€",179
AE-VC224T-IT(2.8MM),P,"157,85€",177
AINVR-SFPPLUS-SR,C,"298,00€",149
AINVR2-PRM-FORM-D-96TB-EU,C,"40.886,00€",158
AINVR2-STD-FORM-D-16TB-EU,C,"15.409,00€",157
AINVR2-STD-FORM-D-24TB-EU,C,"16.415,00€",157
AINVR2-STD-FORM-D-32TB-EU,C,"18.122,00€",158
AINVR2-STD-FORM-D-64TB-EU,C,"30.523,00€",158
AINVR2-VAL-12TB-EU,C,"6.584,00€",157
AINVR2-VAL-24TB-EU,C,"10.702,00€",157
AINVR2-VAL-6TB-EU,C,"5.875,00€",157
AINVR2-VAL-ANK,C,"620,73€",159
AMG350-2G-2S,C,"651,24€",238
AMG350-5G,C,"576,94€",238
AMG350-8GAT-P200,C,"996,53€",238
AMG510-24G-4XS,C,"2.880,31€",228
AMG570-4GAT-2S-P120,C,"1.506,45€",238
AMG570-8GAT-3S-P240,C,"1.841,53€",238
AMG816-1F-RP-AD,C,"1.792,00€",238
AMGANT-G1-ODA2.5-5B,C,"33,51€",238
ANE-L6012R,C,"280,00€",108
ANE-L7012R,C,"302,40€",112
ANO-L7082R,B,"336,00€",106
ANV-L6082R,B,"318,18€",110
ANV-L7082R,A,"336,00€",113
AO-ENT-AINN-ADD,C,Gratis,195
AO-ENT-AINN-ADD,C,Gratis,217
AO-ENT-CAM,C,"321,95€",195
AO-ENT-CAM,C,"321,95€",217
AO-ENT-LPRRR-AD,C,"829,27€",195
AO-ENT-LPRRR-AD,C,"829,27€",217
AO-ENT-MMRRR-AD,C,"829,27€",195
AO-ENT-MMRRR-AD,C,"829,27€",217
AO-PRO-CAM,C,"156,10€",195
AO-PRO-CAM,C,"156,10€",217
AO-PRO-MQS-ADD,C,"165,85€",195
AO-PRO-MQS-ADD,C,"165,85€",217
AO-SETCONF,C,"123,64€",195
AO-SETCONF,C,"123,64€",217
AO-ST-CAM,C,"97,56€",195
AO-ST-CAM,C,"97,56€",217
AP5404E,C,"1.536,59€",214
AP5404P,C,"5.213,41€",214
AP5404T,C,"28.975,61€",214
ATKPRO,C,"2.317,07€",202
AVR-10,C,"228,66€",205
AVR-100,C,"1.704,55€",205
AVR-1000,C,"3.658,54€",205
BASE DE DATOS 100K,C,"74.825,76€",213
BASE DE DATOS 10K,C,"32.755,65€",213
BASE DE DATOS 10M,C,"1.018.712,12€",213
BASE DE DATOS 1K,C,"8.714,05€",213
BASE DE DATOS 1M,C,"173.691,32€",213
BASE DE DATOS 500,C,"5.710,20€",213
BASE DE DATOS 500K,C,"131.471,56€",213
BASE DE DATOS 50K,C,"58.598,48€",213
BASE DE DATOS 5K,C,"23.740,50€",213
BASE DE DATOS 5M,C,"588.990,50€",213
BIOACCESS,C,"1.217,04€",213
BIOALARM,C,"3.606,06€",213
BIOCOM,C,"901,52€",213
BIOCOMPARE,C,"14.018,56€",213
BIODATABASE,C,"8.789,77€",213
BIOFINDER,C,"24.043,41€",213
BIOMAIL,C,"2.614,39€",213
BIOMARKETING,C,"1.352,27€",213
BIOMARKETING MASTER,C,"21.636,36€",213
BIOREGISTER,C,"2.704,55€",213
BIOSURVEILLANCE,C,"3.515,91€",213
BIOSURVEILLANCE MASTER,C,"36.060,60€",213
BIOSURVEILLANCE NEXT,C,"7.121,97€",213
BLACKBIRDSTARTER KIT,C,"361.598,83€",188
C1-BP,C,"34,17€",233
C1-BP2,C,"37,46€",233
C1-BP3,C,"43,08€",233
C1-INT,C,"1.437,83€",233
C5404B,C,"1.792,68€",215
C5404G,C,"1.792,68€",215
C5404L,C,"1.792,68€",215
C5404N,C,"1.792,68€",216
C5404R,C,"9.999.999,00€",216
C5404S,C,"9.999.999,00€",216
C5404T,C,"9.999.999,00€",216
CAB4-1,C,"56,82€",238
CLFE1EOC,C,"579,60€",231
CLFE1EOU,C,"579,60€",231
CNFE2MC-M,C,"457,37€",231
CNFE2MCPOE2,C,"880,57€",231
CNFE3DOE2-M,C,"1.098,74€",231
CNFESFPMCPOE30-M,C,"609,83€",231
CNGE24MS2,C,"4.544,80€",232
CNGE2FE4SMS,C,"1.098,74€",232
CNGE2FE4SMSPOEHO,C,"1.218,34€",232
CNGE2FE8MSPOE+,C,"1.868,91€",232
CNGE4+2SMSPOEHO-M,C,"1.687,54€",232
CNGE5MS,C,"1.391,83€",232
CO5404E,C,"17.926,83€",215
CO5404G,C,"1.317,07€",214
CO5404L,C,"8.853,66€",215
CRNMT-1001,C,"126,15€",152
CSM-ALM12V2A,A,"14,39€",258
CSM-BALUN-ACTIVO-HD-KIT,C,"100,43€",241
CSM-CABLE-HDMI-DP-15,C,"184,12€",258
CSM-CVELEC,C,"505,65€",251
CSM-CVELEC-RACK,C,"631,15€",251
CSM-CVELEC-XL,C,"933,80€",251
CSM-CVKVENT,C,"99,65€",251
CSM-CVMEC,A,"374,63€",251
CSM-CVMEC-RACK,B,"496,43€",251
CSM-CVMEC-XL,B,"788,01€",251
CSM-EXT-HDMI4K-KVM,C,"232,42€",258
CSM-KC868-A32,A,"493,66€",200
CSM-KC868-A32,A,"493,66€",203
CSM-KC868-A32,A,"493,66€",205
CSM-KEYSTONE-CAT5,C,"1,17€",256
CSM-KEYSTONE-CAT6,C,"2,08€",256
CSM-POLE-3.5-3PCS,B,"195,15€",258
CSM-POLE-4.5-3PCS,B,"236,35€",258
CSM-RALZ-F,C,"45,89€",256
CSM-RAOK-1P,C,"18,37€",256
CSM-RAP-RJ45,C,"16,70€",255
CSM-RAP-SCAPC1,C,"16,70€",255
CSM-RAPD600,C,"48,83€",256
CSM-RAPDS,C,"54,26€",256
CSM-RAPW450,C,"146,08€",255
CSM-RAPW600,C,"166,94€",256
CSM-RAS-4,C,"2,08€",256
CSM-RAW1,C,"24,86€",256
CSM-RGDP-CCTV,A,"6,73€",258
CSM-RP-U24H5,C,"41,32€",255
CSM-RP-U24V6,C,"67,40€",255
CSM-RWA-1266,C,"257,95€",255
CSM-RWA-454-GRIS,C,"96,67€",255
CSM-RWA-664,C,"163,12€",255
CSM-RWA-666,C,"193,47€",255
CSM-RWA-966,C,"208,64€",255
CSM-SERVER-R2U-30TR5,C,"5.987,00€",195
CSM-SERVER-R3U-70TR5,C,"9.174,00€",195
CSM-SMG50,B,"84,47€",246
CSM-SMP10,A,"47,82€",246
CSM-SMP10-L,C,"59,45€",246
CSM-VSM653,C,"652,27€",246
CURSO DE DRON STS (TEO + PRACTICO + RADIOFONISTA),C,Gratis,189
CURSO DRONES 1036-2017 TEORICO+PRACTICO,C,Gratis,189
CURSO PILOTOS DE DRONES STS (TEÓRICO + PRÁCTICO),C,Gratis,189
CURSO PROFESIONAL DE DRONES STS (PRÁCTICO),C,Gratis,189
CURSO PROFESIONAL RTC-RPAS RADIOFONISTA,C,Gratis,189
DAVIEW SERVER 12CH NUC,A,"1.877,69€",204
DAVIEW SERVER 40CH RACK,A,"2.314,69€",204
DEM-310GT,C,"84,73€",223
DEM-431XT,C,"302,91€",223
DEM-432XT,C,"557,45€",223
DEM-CB300S,C,"412,00€",223
DFUSION 01,A,"1.585,37€",202
DFUSION 02,A,"3.170,73€",201
DFUSION 03,B,"4.756,10€",201
DFUSION 04,A,"6.341,46€",201
DFUSION 04 MINI RELE,A,"4.006,10€",198
DFUSION 05,B,"7.317,07€",201
DFUSION 06,A,"8.780,49€",201
DFUSION 06 MINI RELE,A,"6.012,20€",198
DFUSION 07,A,"10.243,90€",201
DFUSION 08,A,"11.707,32€",201
DFUSION 09,A,"13.170,73€",201
DFUSION 10,A,"14.634,15€",201
DFUSION 11,A,"16.097,56€",201
DFUSION 12,B,"17.560,98€",201
DFUSION PRO 02,C,"4.634,15€",202
DFUSION PRO 03,C,"6.951,22€",202
DFUSION PRO 04,C,"9.268,29€",202
DFUSION PRO 05,C,"11.585,37€",202
DFUSION PRO 06,C,"13.902,44€",202
DFUSION PRO 07,C,"16.219,51€",202
DFUSION PRO 08,C,"18.536,59€",202
DFUSION PRO 09,C,"20.853,66€",202
DFUSION PRO 10,C,"23.170,73€",202
DFUSION PRO 11,C,"25.487,80€",202
DFUSION PRO 12,C,"27.804,88€",202
DFUSION PRO 13,C,"30.121,95€",202
DFUSION PRO 14,C,"32.439,02€",202
DFUSION PRO 15,C,"34.756,10€",202
DFUSION PRO 16,C,"37.073,17€",202
DFUSION PRO UPG,A,"853,66€",202
DGS-1008MP,C,"285,94€",221
DGS-1008P,B,"159,88€",221
DGS-1210-10P,B,"346,55€",221
DGS-1210-24,C,"351,39€",222
DGS-1210-24P,A,"709,40€",222
DGS-1510-20-E,C,"605,94€",221
DGS-3130-30PS-E,C,"2.666,55€",222
DGS-3130-54PS-E,C,"4.193,82€",222
DIS-100G-5PSW,C,"872,61€",229
DIS-100G-5W,C,"496,85€",229
DIS-200G-12PS,C,"1.648,36€",229
DIS-300G-14PSW,C,"2.933,21€",229
DIS-300G-8PSW,C,"2.521,09€",229
DIS-700G-28XS,C,"8.848,36€",229
DIS-S301SX,C,"249,58€",230
DIS-S302SX,C,"315,03€",230
DIS-S310LX,C,"436,24€",230
DJI BS65,C,"2.501,51€",187
DJI LP12 ALTAVOZ + FOCO,C,"4.526,83€",187
DJI MATRICE 30 HÉLICES PARA GRAN ALTITUD,C,"100,00€",187
DJI MATRICE 350 RTK HÉLICES GRAN ALTITUD,C,"78,61€",187
DJI MAVIC 3 ENTERPRISE - KIT DE 3 BATERÍAS,C,"1.192,71€",187
DJI MAVIC 3 HÉLICES,C,"38,29€",187
DJI TB65,C,"1.701,27€",187
DJI ZENMUSE H20N,C,"30.063,41€",187
DJI ZENMUSE H20T,C,"24.448,78€",187
DJI ZENMUSE L2,C,"27.585,17€",187
DPE-101GI,B,"67,76€",223
DPE-302GE,B,"188,97€",223
DPS-700,C,"2.327,15€",223
DS-1006KI,C,"478,45€",22
DS-1200KI,A,"698,50€",22
DS-1200KI,A,"698,50€",96
DS-1232ZJ-T-BJH-ANTI-CORROSION,P,"204,00€",87
DS-1260ZJ,A,"21,15€",84
DS-1271ZJ-110,B,"50,85€",86
DS-1271ZJ-130,C,"52,87€",86
DS-1271ZJ-140,A,"77,54€",17
DS-1271ZJ-140,A,"77,54€",86
DS-1271ZJ-DM25,C,"59,92€",86
DS-1271ZJ-PT10,C,"47,83€",86
DS-1272ZJ-110,B,"26,69€",85
DS-1272ZJ-110-TRS,C,"28,20€",16
DS-1272ZJ-110-TRS,C,"28,20€",85
DS-1272ZJ-120,B,"28,20€",85
DS-1272ZJ-120(BLACK),C,"28,20€",86
DS-1273ZJ-130,C,"31,72€",85
DS-1273ZJ-130-TRL,B,"35,24€",16
DS-1273ZJ-130-TRL,B,"35,24€",85
DS-1273ZJ-135,A,"31,72€",85
DS-1273ZJ-140,B,"31,72€",85
DS-1273ZJ-140-DM45,C,"42,29€",16
DS-1273ZJ-140-DM45,C,"42,29€",85
DS-1273ZJ-DM25,C,"49,34€",85
DS-1275ZJ-S-SUS,A,"38,77€",86
DS-1275ZJ-SUS,A,"50,85€",17
DS-1275ZJ-SUS,A,"50,85€",86
DS-1276ZJ-SUS,B,"100,70€",17
DS-1276ZJ-SUS,B,"100,70€",86
DS-1280ZJ-DM18,A,"16,62€",84
DS-1280ZJ-DM21,A,"17,62€",84
DS-1280ZJ-DM25,A,"17,62€",84
DS-1280ZJ-DM45,A,"31,72€",16
DS-1280ZJ-DM45,A,"31,72€",85
DS-1280ZJ-DM46,A,"21,15€",84
DS-1280ZJ-DM55,A,"28,20€",84
DS-1280ZJ-DM8,B,"14,10€",84
DS-1280ZJ-DM8(BLACK),C,"14,10€",84
DS-1280ZJ-M,A,"31,72€",16
DS-1280ZJ-M,A,"31,72€",84
DS-1280ZJ-S,A,"31,72€",16
DS-1280ZJ-S,A,"31,72€",84
DS-1280ZJ-SD11,B,"21,15€",16
DS-1280ZJ-SD11,B,"21,15€",84
DS-1280ZJ-XS,A,"19,64€",16
DS-1280ZJ-XS,A,"19,64€",84
DS-1281ZJ-DM23,B,"16,11€",17
DS-1281ZJ-DM23,B,"16,11€",87
DS-1294ZJ,C,"24,67€",85
DS-1294ZJ-PT,B,"24,67€",85
DS-1294ZJ-TRL,C,"28,20€",85
DS-1473ZJ-155,A,"49,34€",86
